App.,Taxon,Term,Unit,Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
I,Acinonyx jubatus,specimens,ml,ZM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,
I,Acinonyx jubatus,specimens,Number of specimens,AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
I,Acinonyx jubatus,specimens,Number of specimens,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,
I,Acinonyx jubatus,specimens,Number of specimens,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
I,Acinonyx jubatus,specimens,Number of specimens,KE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
I,Acinonyx jubatus,specimens,Number of specimens,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,210,
I,Acinonyx jubatus,specimens,Number of specimens,SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,3.5,
I,Acinonyx jubatus,specimens,Number of specimens,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
I,Acinonyx jubatus,specimens,Number of specimens,ZM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
I,Acinonyx jubatus,specimens,,AE,,,,,,,,,,,,,,,,,,,,,,,,,29,,,134,540,,1,,50,10,4,669,80,,124,98,,,,,,,,,,
I,Acinonyx jubatus,specimens,,AT,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,1520,,,,
I,Acinonyx jubatus,specimens,,BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,1,,,,,,,,,
I,Acinonyx jubatus,specimens,,BJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,
I,Acinonyx jubatus,specimens,,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,BW,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,30,,,,,,,,,18,,,,,
I,Acinonyx jubatus,specimens,,CA,,,,,,,,,,,,,,,,,,18,,,7,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
I,Acinonyx jubatus,specimens,,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,505,,,,,600,,,,,,1,,,,,,,,
I,Acinonyx jubatus,specimens,,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060,165,,,,,600,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,2,1,,,
I,Acinonyx jubatus,specimens,,FR,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,15,,,,,
I,Acinonyx jubatus,specimens,,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
