App.,Taxon,Term,Unit,Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
I,Acinonyx jubatus,skins,Number of specimens,ZM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
I,Acinonyx jubatus,skins,,AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,1,,,,,,,,,,,
I,Acinonyx jubatus,skins,,AO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,AT,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,AU,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,2,,,,,,,,,,1,2,,,,,,,,,
I,Acinonyx jubatus,skins,,AW,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,BE,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,BJ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,BR,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,BW,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,CA,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,
I,Acinonyx jubatus,skins,,CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,CH,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,3,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,CM,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,CZ,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,DE,,313,,,,,1,1,,,,,2,,,,1,,,,,,,,,2,,,,,,,,1,,,,,,,,,1,1,,,,,,
I,Acinonyx jubatus,skins,,DK,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,ET,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,FR,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,GB,,,,,,,,1,,,1,,,,,,1,,,,,,,,1,,,,,,2,1,,2,,,,1,,1,,,,,,,,,,
I,Acinonyx jubatus,skins,,HK,,,,,10,9,,,,2,,,,,,,,,,,,,,,,146,,11,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,
I,Acinonyx jubatus,skins,,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
I,Acinonyx jubatus,skins,,IN,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,IT,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,KE,,,,,,,,1,1,,,5,1,,1,,,2,,1,,,,,1,1,,,,,,,,,,,,,,,,2,,,,,,,,
I,Acinonyx jubatus,skins,,KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,LB,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,MZ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,NA,,,,,4,1,,,10,125,88,70,53,45,15,6,8,12,5,8,2,13,14,35,34,26,34,49,17,8,10,11,9,9,11,3,5,3,4,4,7,10,3,1,1,,,,,
I,Acinonyx jubatus,skins,,NE,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,NG,,,,,,,2,2,4,1,1,,,,,,,,1,,,1,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,NL,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
I,Acinonyx jubatus,skins,,NZ,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,PL,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
I,Acinonyx jubatus,skins,,SA,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
I,Acinonyx jubatus,skins,,TZ,,,,,,,,1,,1,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,UG,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,US,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,
I,Acinonyx jubatus,skins,,XX,,,,,,2,1,,4,,1,,,,2,,,,,4,1,,,1,,1,,,,,,,,,,,,,,5,,,,,,,,,,
I,Acinonyx jubatus,skins,,YU,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,ZA,,,4,,2,5,5,6,8,90,58,27,21,18,14,2,1,1,1,5,1,2,4,2,2,2,4,3,2,2,1,2,1,4,3,4,1,2,1,6,1,3,,,,,,,,
I,Acinonyx jubatus,skins,,ZM,,,,,,,2,,,,,,2,,,,,4,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,ZW,,,,,,,1,,5,,4,1,2,,,,,3,1,3,6,3,7,4,3,3,2,4,1,1,,3,,3,2,,,1,1,,,1,,,,,,,,
I,Acinonyx jubatus,trophies,Number of specimens,CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
I,Acinonyx jubatus,trophies,Number of specimens,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
I,Acinonyx jubatus,trophies,Number of specimens,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,44,39,76,68,
I,Acinonyx jubatus,trophies,Number of specimens,ZW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
I,Acinonyx jubatus,trophies,,AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,
